epoch,train_loss,train_acc,validation_loss,validation_acc
0,7.008039300245554,0.3500697350069735,3.58743732770284,0.30416666666666664
1,1.5100157811773594,0.4779172477917248,1.423176646232605,0.4875
2,1.1463989193136888,0.5685727568572757,1.2505494197209677,0.525
3,1.011729686717996,0.6234309623430963,1.7105139414469401,0.3875
4,0.9306360099383256,0.6466759646675965,1.4824284474054972,0.42083333333333334
5,0.7784507671714882,0.7075778707577871,1.3149510622024536,0.5166666666666667
6,0.7361062757639706,0.7219897721989772,1.0243181824684142,0.6333333333333333
7,0.7127764954338623,0.7275685727568573,0.8354490121205648,0.7416666666666667
8,0.6882356417519944,0.7377963737796374,1.0851828098297118,0.6583333333333333
9,0.6459057956781569,0.7638307763830776,0.9053164641062419,0.75
10,0.5766590183582598,0.7777777777777778,0.9348351736863454,0.725
11,0.558219071378934,0.799628079962808,1.7588339487711588,0.5541666666666667
12,0.5420004971799934,0.7926545792654579,0.8420699576536814,0.7625
13,0.5241444284336226,0.807996280799628,1.2828003803888957,0.675
14,0.5102326828122195,0.8042770804277081,0.8804137825965881,0.7708333333333334
15,0.44773066018914576,0.8307763830776383,1.1559355815251668,0.7333333333333333
16,0.42557003995752624,0.8405392840539284,0.9064270416895549,0.7583333333333333
17,0.4084049896244003,0.8498372849837285,0.9371776183446249,0.7791666666666667
18,0.4039295945318285,0.8512319851231985,1.0470205942789714,0.7416666666666667
19,0.381544929969344,0.8591352859135286,1.0220466097195944,0.7625
